distance_to_signal,ev_speed,queue_length,time_of_day,traffic_level,preempted,success
13.389921583041478,0.0,0,30.1,1,1,0
13.421785470958321,0.34126424622815105,0,30.2,1,1,0
13.48528894451614,0.6797728535708693,0,30.3,1,1,0
13.581561049439074,1.0296616545331325,0,30.4,1,1,0
13.708079624519067,1.351578091584727,0,30.5,1,1,0
13.864799371355684,1.6718026657002427,0,30.6,1,1,0
14.051117126886385,1.9842002414827593,0,30.7,1,1,0
14.267424402276205,2.299228066398794,0,30.8,1,1,0
14.512305789975555,2.5976013739001718,0,30.9,1,1,0
14.789590052567181,2.934838237785108,0,31.0,1,1,0
15.099916309417663,3.2769036731892056,0,31.1,1,1,0
15.441096436249204,3.5939948844490366,0,31.2,1,1,0
15.814333741270477,3.9219837165844886,0,31.3,1,1,0
16.214201610062403,4.191420527403222,0,31.4,1,1,0
16.647701449275154,4.532764526327353,0,31.5,1,1,0
17.113836152770688,4.86209002441026,0,31.6,1,1,0
17.611605413232862,5.179602863165761,0,31.7,1,1,1
18.134431568630458,5.427708235286387,0,31.8,1,1,1
18.68740409579077,5.727867522181455,0,31.9,1,1,1
19.266519026817143,5.985843722284749,0,32.0,1,1,1
19.872841584759836,6.254326424306469,0,32.1,1,1,1
20.506486683298835,6.52354691377373,0,32.2,1,1,1
21.165515799872797,6.772499941042601,0,32.3,1,1,1
21.851637587273466,7.038782181988912,0,32.4,1,1,1
22.565279859401823,7.309233016552147,0,32.5,1,1,1
23.30928686679793,7.608580878635379,0,32.6,1,1,1
24.079925594224186,7.869599604494845,0,32.7,1,1,1
24.880960921493784,8.168966276291734,0,32.8,1,1,1
25.712189201719987,8.466133660357421,0,32.9,1,1,1
26.568862683373553,8.714958947516255,0,33.0,1,1,1
27.452672122199125,8.981081987912741,0,33.1,1,1,1
28.362739879940357,9.238388510127526,0,33.2,1,1,1
29.300872957316727,9.514143162164812,0,33.3,1,1,1
30.2720759147289,9.840678438553562,0,33.4,1,1,1
31.2712877281307,10.115981357251268,0,33.5,1,1,1
32.305658529873305,10.4637171892449,0,33.6,1,1,1
33.374477583007106,10.804254033406005,0,33.7,1,1,1
34.477171559425955,11.139024481625501,0,33.8,1,1,1
35.61403438276879,11.476815224743886,0,33.9,1,1,1
36.78454217269224,11.809385877170106,0,34.0,1,1,1
37.983886543784834,12.093569430129108,0,34.1,1,1,1
39.208737570808765,12.344368704546913,0,34.2,1,1,1
40.461632702374494,12.620933721217996,0,34.3,1,1,1
41.74269402375027,12.898895038985618,0,34.4,1,1,1
43.05572208774682,13.215260657560982,0,34.5,1,1,1
44.39678970603153,13.492234786488087,0,34.6,1,1,1
45.7652507862218,13.76286569998946,0,34.7,1,1,1
47.16451398522424,14.067914771268814,0,34.8,1,1,1
48.59407099152561,14.367971280129831,0,34.9,1,1,1
50.049650991697135,14.625239126846399,0,35.0,1,1,1
51.514936525129706,14.718767260677742,0,35.1,1,1,1
148.78662190106164,14.718767260677742,0,35.1,1,1,1
52.9718299869674,14.630830771799992,0,35.2,1,1,1
147.32430794963034,14.630830771799992,0,35.2,1,1,1
54.42897755350882,14.63004819282247,0,35.3,1,1,1
145.86208763923818,14.63004819282247,0,35.3,1,1,1
55.891591285712515,14.681840704158276,0,35.4,1,1,1
144.39470683248484,14.681840704158276,0,35.4,1,1,1
57.35469804600287,14.683931887466787,0,35.5,1,1,1
142.9271335234832,14.683931887466787,0,35.5,1,1,1
58.816995322698006,14.673166374392205,0,35.6,1,1,1
141.46065316230525,14.673166374392205,0,35.6,1,1,1
60.27720439650266,14.649770613032487,0,35.7,1,1,1
139.9965285271467,14.649770613032487,0,35.7,1,1,1
61.74048935940826,14.678356909865142,0,35.8,1,1,1
138.5295650023454,14.678356909865142,0,35.8,1,1,1
63.20348270035495,14.673315701884313,0,35.9,1,1,1
137.06312396402808,14.673315701884313,0,35.9,1,1,1
64.66347855252288,14.641286612702862,0,36.0,1,1,1
135.59990309483607,14.641286612702862,0,36.0,1,1,1
66.12608734104899,14.665652641052475,0,36.1,1,1,1
134.134266994718,14.665652641052475,0,36.1,1,1,1
67.59401610355262,14.717268032492466,0,36.2,1,1,1
132.66349327106488,14.717268032492466,0,36.2,1,1,1
69.05344196345301,14.630412289805573,0,36.3,1,1,1
131.2014206831706,14.630412289805573,0,36.3,1,1,1
70.51700941180029,14.670422558308674,0,36.4,1,1,1
129.73537164680226,14.670422558308674,0,36.4,1,1,1
71.97664541057271,14.629602468266713,0,36.5,1,1,1
128.27342447201846,14.629602468266713,0,36.5,1,1,1
73.44252330321257,14.690829351580797,0,36.6,1,1,1
126.80538236328533,14.690829351580797,0,36.6,1,1,1
74.91177511033732,14.723379632289616,0,36.7,1,1,1
125.33411200485781,14.723379632289616,0,36.7,1,1,1
76.37380374711387,14.649813967019181,0,36.8,1,1,1
123.87021805900878,14.649813967019181,0,36.8,1,1,1
77.8395082352347,14.685530073417212,0,36.9,1,1,1
122.40278126966807,14.685530073417212,0,36.9,1,1,1
79.30493774827454,14.68171939755357,0,37.0,1,1,1
120.93575234645292,14.68171939755357,0,37.0,1,1,1
80.77418818079566,14.718998419583404,0,37.1,1,1,1
119.46502661376736,14.718998419583404,0,37.1,1,1,1
82.24212749373021,14.704915749657994,0,37.2,1,1,1
117.99573726313254,14.704915749657994,0,37.2,1,1,1
83.7060290089041,14.663573840748613,0,37.3,1,1,1
116.53060892480043,14.663573840748613,0,37.3,1,1,1
85.1676496094619,14.639882101008297,0,37.4,1,1,1
115.06787901019567,14.639882101008297,0,37.4,1,1,1
86.63717110942473,14.718211837447344,0,37.5,1,1,1
113.59735553370419,14.718211837447344,0,37.5,1,1,1
88.09787678945283,14.629153640967889,0,37.6,1,1,1
112.1357637668641,14.629153640967889,0,37.6,1,1,1
89.56631174501277,14.705835255472085,0,37.7,1,1,1
110.66654602974769,14.705835255472085,0,37.7,1,1,1
91.02838939311468,14.641478995925608,0,37.8,1,1,1
109.20379446803551,14.641478995925608,0,37.8,1,1,1
92.4927574579928,14.663758197045281,0,37.9,1,1,1
107.73885513134853,14.663758197045281,0,37.9,1,1,1
93.95767797870388,14.668662894110057,0,38.0,1,1,1
106.27346544747677,14.668662894110057,0,38.0,1,1,1
95.42487168656655,14.690824999144862,0,38.1,1,1,1
104.80590319012623,14.690824999144862,0,38.1,1,1,1
96.88893253414881,14.65888478664947,0,38.2,1,1,1
103.34157470854255,14.65888478664947,0,38.2,1,1,1
98.3492029152443,14.620389795123229,0,38.3,1,1,1
101.88113632019133,14.620389795123229,0,38.3,1,1,1
99.8125947127037,14.651121691005866,0,38.4,1,1,1
100.41767483601541,14.651121691005866,0,38.4,1,1,1
101.27803039272244,14.671085487347192,0,38.5,1,1,1
98.95226817473461,14.671085487347192,0,38.5,1,1,1
102.74263207159254,14.662258360857704,0,38.6,1,1,1
97.48779435016324,14.662258360857704,0,38.6,1,1,1
104.20819815305194,14.671455354558166,0,38.7,1,1,1
96.02245544863187,14.671455354558166,0,38.7,1,1,1
105.67741170956778,14.707528999239766,0,38.8,1,1,1
94.55356986249993,14.707528999239766,0,38.8,1,1,1
107.14305484136327,14.671366068870157,0,38.9,1,1,1
93.08835472868633,14.671366068870157,0,38.9,1,1,1
108.60559735482262,14.639925879056428,0,39.0,1,1,1
91.62634079231779,14.639925879056428,0,39.0,1,1,1
110.07403089457361,14.698506317452157,0,39.1,1,1,1
90.15854133066685,14.698506317452157,0,39.1,1,1,1
111.53636633031276,14.63709509175187,0,39.2,1,1,1
88.69694193146495,14.63709509175187,0,39.2,1,1,1
113.00586448862846,14.708430892642681,0,39.3,1,1,1
87.22829051942091,14.708430892642681,0,39.3,1,1,1
114.46823986640258,14.636794631267295,0,39.4,1,1,1
85.76686662680305,14.636794631267295,0,39.4,1,1,1
115.93642078706246,14.69457045406136,0,39.5,1,1,1
84.2997527850462,14.69457045406136,0,39.5,1,1,1
117.39764108448443,14.62458639843073,0,39.6,1,1,1
82.8397086605771,14.62458639843073,0,39.6,1,1,1
118.85885030849718,14.62417071899199,0,39.7,1,1,1
81.37979274160098,14.62417071899199,0,39.7,1,1,1
120.32560151868647,14.679341006108189,0,39.8,1,1,1
79.91446121070692,14.679341006108189,0,39.8,1,1,1
121.79466299513142,14.702176382796933,0,39.9,1,1,1
78.44694773252569,14.702176382796933,0,39.9,1,1,1
123.25804570296835,14.645069688220138,0,40.0,1,1,1
76.98523700969045,14.645069688220138,0,40.0,1,1,1
124.7233072770218,14.663608159312608,0,40.1,1,1,1
75.52178453048546,14.663608159312608,0,40.1,1,1,1
126.18727817412821,14.650436480479875,0,40.2,1,1,1
74.05976150600463,14.650436480479875,0,40.2,1,1,1
127.65844196822194,14.722170031611205,0,40.3,1,1,1
72.59070261280658,14.722170031611205,0,40.3,1,1,1
129.12093865045566,14.635198733234175,0,40.4,1,1,1
71.13045162736138,14.635198733234175,0,40.4,1,1,1
130.58257814343224,14.626391619677051,0,40.5,1,1,1
69.67121644220217,14.626391619677051,0,40.5,1,1,1
132.04986999143946,14.682731016180806,0,40.6,1,1,1
68.20650709470037,14.682731016180806,0,40.6,1,1,1
133.5132243328749,14.643114598073625,0,40.7,1,1,1
66.74590574065935,14.643114598073625,0,40.7,1,1,1
134.98443368767235,14.721506712590672,0,40.8,1,1,1
65.27765261449274,14.721506712590672,0,40.8,1,1,1
136.44926097225476,14.657443318511687,0,40.9,1,1,1
63.815967281008845,14.657443318511687,0,40.9,1,1,1
137.91218397692893,14.638193991321932,0,41.0,1,1,1
62.35639173147945,14.638193991321932,0,41.0,1,1,1
139.38258965159903,14.71287675755597,0,41.1,1,1,1
60.889574872610396,14.71287675755597,0,41.1,1,1,1
140.84677584993466,14.650461535626418,0,41.2,1,1,1
59.429200197191456,14.650461535626418,0,41.2,1,1,1
142.31392495027444,14.679930315211276,0,41.3,1,1,1
57.96612451164921,14.679930315211276,0,41.3,1,1,1
143.78177602911768,14.686781639358124,0,41.4,1,1,1
56.50262125477645,14.686781639358124,0,41.4,1,1,1
145.24869388357857,14.67727699140818,0,41.5,1,1,1
55.04034053130974,14.67727699140818,0,41.5,1,1,1
146.71667105558421,14.687713766537236,0,41.6,1,1,1
53.57731820358341,14.687713766537236,0,41.6,1,1,1
148.18680900554872,14.709175411336219,0,41.7,1,1,1
52.112482257603695,14.709175411336219,0,41.7,1,1,1
149.65095710753684,14.649092813802746,0,41.8,1,1,1
50.65398004551869,14.649092813802746,0,41.8,1,1,1
49.194807312089914,14.659655774321037,0,41.9,1,1,1
47.731693326104306,14.703452788577742,0,42.0,1,1,1
46.271018480419805,14.683538605908725,0,42.1,1,1,1
44.811175247454145,14.680222761922378,0,42.2,1,1,1
43.34877352777749,14.71152403391814,0,42.3,1,1,1
41.89525968050092,14.628225264211979,0,42.4,1,1,1
40.44181384103853,14.634300751923911,0,42.5,1,1,1
38.98029543781572,14.723172134036759,0,42.6,1,1,1
37.52160848157772,14.70313723472329,0,42.7,1,1,1
36.0624679520997,14.717241498435943,0,42.8,1,1,1
34.60753382210743,14.685528992141226,0,42.9,1,1,1
33.150773778935275,14.716119645764447,0,43.0,1,1,1
31.700723579155195,14.66212065677075,0,43.1,1,1,1
30.255472604374113,14.629292755830429,0,43.2,1,1,1
28.81146950657093,14.634734428157426,0,43.3,1,1,1
27.367124545559598,14.659216745198101,0,43.4,1,1,1
25.923847575293934,14.67299745678236,0,43.5,1,1,1
